Competitions,Hours,Day,Frequency,Date,Lac_CFU_i,Lac_CFU_f,Comp_CFU_i,Comp_CFU_f,Pop_CFU_i,Pop_CFU_f,Lac_proportion_i,Lac_proportion_f,Comp_proportion_i,Comp_proportion_f,Replicate,Lac_marker,Competitor,ln(final_Lac / initial_Lac),ln(final_Comp / initial_Comp),Selection_rate_lac,Selection_rate_comp
PA14 Ancestor vs B1,24,1,9:1,2021-09-07,3.00E+05,5.00E+07,2.05E+07,5.90E+08,2.08E+07,6.40E+08,0.0144231,0.078125000,0.985576923,0.921875000,3,B1,PA14 Ancestor,5.11599581,3.359697651,1.756298159,-1.756298159
PA14 Ancestor vs B1,24,1,9:1,2021-09-14,6.00E+05,9.00E+07,1.86E+07,1.37E+09,1.92E+07,1.46E+09,0.0312500,0.061643836,0.968750000,0.938356164,3,B1,PA14 Ancestor,5.010635294,4.299404438,0.711230856,-0.711230856
PA14 Ancestor vs B1,24,1,1:1,2021-09-14,3.00E+06,9.60E+08,1.56E+07,1.11E+09,1.86E+07,2.07E+09,0.1612903,0.463768116,0.838709677,0.536231884,1,B1,PA14 Ancestor,5.768320996,4.26484438,1.503476616,-1.503476616
PA14 Ancestor vs B1,24,1,1:1,2021-09-14,3.10E+06,7.50E+08,1.45E+07,1.16E+09,1.76E+07,1.91E+09,0.1761364,0.392670157,0.823863636,0.607329843,2,B1,PA14 Ancestor,5.488671095,4.382026635,1.10664446,-1.10664446
PA14 Ancestor vs B1,24,1,1:1,2021-09-14,3.00E+06,9.50E+08,1.20E+07,1.17E+09,1.50E+07,2.12E+09,0.2000000,0.448113208,0.800000000,0.551886792,3,B1,PA14 Ancestor,5.757849696,4.579852378,1.177997318,-1.177997318
PA14 Ancestor vs B1,24,1,9:1,2021-09-07,5.00E+05,4.00E+07,1.38E+07,1.12E+09,1.43E+07,1.16E+09,0.0349650,0.034482759,0.965034965,0.965517241,2,B1,PA14 Ancestor,4.382026635,4.396415372,-0.014388737,0.014388737
PA14 Ancestor vs B1,24,1,1:1,2021-09-07,3.20E+06,5.10E+08,9.30E+06,4.20E+08,1.25E+07,9.30E+08,0.2560000,0.548387097,0.744000000,0.451612903,3,B1,PA14 Ancestor,5.071259916,3.810240311,1.261019605,-1.261019605
PA14 Ancestor vs B1,24,1,1:1,2021-09-07,3.40E+06,7.70E+08,9.00E+06,7.10E+08,1.24E+07,1.48E+09,0.2741935,0.520270270,0.725806452,0.479729730,1,B1,PA14 Ancestor,5.422615083,4.368040393,1.054574691,-1.054574691
PA14 Ancestor vs B1,24,1,1:1,2021-09-07,2.80E+06,6.10E+08,9.40E+06,6.20E+08,1.22E+07,1.23E+09,0.2295082,0.495934959,0.770491803,0.504065041,2,B1,PA14 Ancestor,5.38383954,4.189009789,1.194829751,-1.194829751
PA14 Ancestor vs B1,24,1,1:99,2021-09-07,8.40E+06,1.45E+09,2.00E+05,1.00E+07,8.60E+06,1.46E+09,0.9767442,0.993150685,0.023255814,0.006849315,1,B1,PA14 Ancestor,5.15108713,3.912023005,1.239064124,-1.239064124
PA14 Ancestor vs B1,24,1,1:99,2021-09-07,6.40E+06,1.30E+09,6.00E+05,1.00E+07,7.00E+06,1.31E+09,0.9142857,0.992366412,0.085714286,0.007633588,2,B1,PA14 Ancestor,5.313821553,2.813410717,2.500410836,-2.500410836
PA14 Ancestor vs B1,24,1,1:99,2021-09-14,5.80E+06,1.82E+09,3.00E+05,6.00E+07,6.10E+06,1.88E+09,0.9508197,0.968085106,0.049180328,0.031914894,1,B1,PA14 Ancestor,5.748733863,5.298317367,0.450416496,-0.450416496
PA14 Ancestor vs B1,24,1,1:99,2021-09-14,5.30E+06,2.31E+09,4.00E+05,2.00E+07,5.70E+06,2.33E+09,0.9298246,0.991416309,0.070175439,0.008583691,2,B1,PA14 Ancestor,6.077295983,3.912023005,2.165272978,-2.165272978
PA14 Ancestor vs B1,24,1,1:99,2021-09-07,5.40E+06,1.60E+09,1.00E+05,2.00E+07,5.50E+06,1.62E+09,0.9818182,0.987654321,0.018181818,0.012345679,3,B1,PA14 Ancestor,5.691359955,5.298317367,0.393042588,-0.393042588
PA14 Ancestor vs B1,24,1,1:99,2021-09-14,4.80E+06,1.94E+09,3.00E+05,5.00E+07,5.10E+06,1.99E+09,0.9411765,0.974874372,0.058823529,0.025125628,3,B1,PA14 Ancestor,6.001827334,5.11599581,0.885831524,-0.885831524
PA14 pilA vs Lac Ancestor,24,1,1:9,2024-03-28,3.00E+05,9.00E+08,5.00E+06,4.30E+09,5.30E+06,5.20E+09,0.0566038,0.173076923,0.943396226,0.826923077,1,Lac Ancestor,PA14 pilA,8.006367568,6.756932389,1.249435178,-1.249435178
PA14 pilA vs Lac Ancestor,24,1,1:9,2024-03-28,9.00E+05,9.00E+08,5.20E+06,5.70E+09,6.10E+06,6.60E+09,0.1475410,0.136363636,0.852459016,0.863636364,2,Lac Ancestor,PA14 pilA,6.907755279,6.999562828,-0.091807549,0.091807549
PA14 pilA vs Lac Ancestor,24,1,1:9,2024-03-28,5.00E+05,1.00E+09,6.90E+06,4.40E+09,7.40E+06,5.40E+09,0.0675676,0.185185185,0.932432432,0.814814815,3,Lac Ancestor,PA14 pilA,7.60090246,6.457838408,1.143064051,-1.143064051
PA14 pilA vs Lac Ancestor,24,1,9:1,2024-03-28,5.40E+06,4.10E+09,6.00E+05,6.60E+08,6.00E+06,4.76E+09,0.9000000,0.861344538,0.100000000,0.138655462,1,Lac Ancestor,PA14 pilA,6.632343299,7.003065459,-0.37072216,0.37072216
